month,repo_class,type,events,actors,repos,class_events,share_of_class
2021-01,ai_ml,CommitCommentEvent,16,7,10,13658,0.001171
2021-01,ai_ml,CreateEvent,1190,523,564,13658,0.087128
2021-01,ai_ml,DeleteEvent,294,82,97,13658,0.021526
2021-01,ai_ml,ForkEvent,859,764,576,13658,0.062894
2021-01,ai_ml,GollumEvent,14,5,5,13658,0.001025
2021-01,ai_ml,IssueCommentEvent,1081,523,221,13658,0.079148
2021-01,ai_ml,IssuesEvent,388,264,158,13658,0.028408
2021-01,ai_ml,MemberEvent,41,24,24,13658,0.003002
2021-01,ai_ml,PublicEvent,42,41,41,13658,0.003075
2021-01,ai_ml,PullRequestEvent,1021,281,252,13658,0.074755
2021-01,ai_ml,PullRequestReviewCommentEvent,376,96,25,13658,0.02753
2021-01,ai_ml,PullRequestReviewEvent,569,154,58,13658,0.041661
2021-01,ai_ml,PushEvent,5026,1354,1541,13658,0.367989
2021-01,ai_ml,ReleaseEvent,18,13,15,13658,0.001318
2021-01,ai_ml,WatchEvent,2723,2338,1277,13658,0.19937
2021-01,general,CommitCommentEvent,9712,1443,3926,2639242,0.00368
2021-01,general,CreateEvent,354933,120978,182912,2639242,0.134483
2021-01,general,DeleteEvent,86438,23393,41044,2639242,0.032751
2021-01,general,ForkEvent,54355,40240,38279,2639242,0.020595
2021-01,general,GollumEvent,8207,1930,1839,2639242,0.00311
2021-01,general,IssueCommentEvent,171876,53108,46438,2639242,0.065123
2021-01,general,IssuesEvent,74489,33227,28655,2639242,0.028224
2021-01,general,MemberEvent,7588,4991,5973,2639242,0.002875
2021-01,general,PublicEvent,8477,7236,8368,2639242,0.003212
2021-01,general,PullRequestEvent,224691,54300,73151,2639242,0.085135
2021-01,general,PullRequestReviewCommentEvent,51864,13926,8126,2639242,0.019651
2021-01,general,PullRequestReviewEvent,80962,24805,17609,2639242,0.030676
2021-01,general,PushEvent,1334657,275105,343967,2639242,0.505697
2021-01,general,ReleaseEvent,19117,5799,8469,2639242,0.007243
2021-01,general,WatchEvent,151876,91997,81901,2639242,0.057545
2021-04,ai_ml,CommitCommentEvent,23,9,11,16370,0.001405
2021-04,ai_ml,CreateEvent,1297,570,633,16370,0.07923
2021-04,ai_ml,DeleteEvent,283,92,110,16370,0.017288
2021-04,ai_ml,ForkEvent,1023,929,627,16370,0.062492
2021-04,ai_ml,GollumEvent,72,17,11,16370,0.004398
2021-04,ai_ml,IssueCommentEvent,1672,587,264,16370,0.102138
2021-04,ai_ml,IssuesEvent,504,329,212,16370,0.030788
2021-04,ai_ml,MemberEvent,40,32,36,16370,0.002443
2021-04,ai_ml,PublicEvent,36,36,36,16370,0.002199
2021-04,ai_ml,PullRequestEvent,1100,308,309,16370,0.067196
2021-04,ai_ml,PullRequestReviewCommentEvent,572,153,49,16370,0.034942
2021-04,ai_ml,PullRequestReviewEvent,754,218,80,16370,0.04606
2021-04,ai_ml,PushEvent,5270,1506,1608,16370,0.32193
2021-04,ai_ml,ReleaseEvent,41,19,23,16370,0.002505
2021-04,ai_ml,WatchEvent,3683,3163,1390,16370,0.224985
2021-04,general,CommitCommentEvent,13751,1686,5077,3138079,0.004382
2021-04,general,CreateEvent,430028,150304,219396,3138079,0.137035
2021-04,general,DeleteEvent,101365,27355,45770,3138079,0.032302
2021-04,general,ForkEvent,58671,44785,41508,3138079,0.018696
2021-04,general,GollumEvent,8736,2246,2091,3138079,0.002784
2021-04,general,IssueCommentEvent,192722,58103,50743,3138079,0.061414
2021-04,general,IssuesEvent,82430,37528,32090,3138079,0.026268
2021-04,general,MemberEvent,10603,6736,7862,3138079,0.003379
2021-04,general,PublicEvent,10067,8680,9973,3138079,0.003208
2021-04,general,PullRequestEvent,261841,64752,83719,3138079,0.08344
2021-04,general,PullRequestReviewCommentEvent,64594,16940,9756,3138079,0.020584
2021-04,general,PullRequestReviewEvent,100121,29934,20300,3138079,0.031905
2021-04,general,PushEvent,1625378,325152,401022,3138079,0.517953
2021-04,general,ReleaseEvent,16924,6421,9430,3138079,0.005393
2021-04,general,WatchEvent,160848,98385,87238,3138079,0.051257
2021-07,ai_ml,CommitCommentEvent,40,7,13,14477,0.002763
2021-07,ai_ml,CreateEvent,1374,555,653,14477,0.094909
2021-07,ai_ml,DeleteEvent,317,107,128,14477,0.021897
2021-07,ai_ml,ForkEvent,812,703,556,14477,0.056089
2021-07,ai_ml,GollumEvent,57,5,5,14477,0.003937
2021-07,ai_ml,IssueCommentEvent,1461,535,259,14477,0.100919
2021-07,ai_ml,IssuesEvent,415,295,196,14477,0.028666
2021-07,ai_ml,MemberEvent,51,22,34,14477,0.003523
2021-07,ai_ml,PublicEvent,36,33,36,14477,0.002487
2021-07,ai_ml,PullRequestEvent,998,285,281,14477,0.068937
2021-07,ai_ml,PullRequestReviewCommentEvent,492,142,47,14477,0.033985
2021-07,ai_ml,PullRequestReviewEvent,679,203,81,14477,0.046902
2021-07,ai_ml,PushEvent,5051,1448,1526,14477,0.348898
2021-07,ai_ml,ReleaseEvent,24,15,18,14477,0.001658
2021-07,ai_ml,WatchEvent,2670,2293,1289,14477,0.18443
2021-07,general,CommitCommentEvent,13832,1497,5283,2918460,0.004739
2021-07,general,CreateEvent,441482,141541,235559,2918460,0.151272
2021-07,general,DeleteEvent,101891,25029,41055,2918460,0.034913
2021-07,general,ForkEvent,54163,41228,38285,2918460,0.018559
2021-07,general,GollumEvent,6715,1688,1626,2918460,0.002301
2021-07,general,IssueCommentEvent,180434,51856,45456,2918460,0.061825
2021-07,general,IssuesEvent,85245,32470,27806,2918460,0.029209
2021-07,general,MemberEvent,8648,5327,6624,2918460,0.002963
2021-07,general,PublicEvent,9131,7621,9019,2918460,0.003129
2021-07,general,PullRequestEvent,236740,58228,72801,2918460,0.081118
2021-07,general,PullRequestReviewCommentEvent,61115,15890,9076,2918460,0.020941
2021-07,general,PullRequestReviewEvent,94861,28034,18981,2918460,0.032504
2021-07,general,PushEvent,1458431,292031,367493,2918460,0.499726
2021-07,general,ReleaseEvent,15672,6008,9158,2918460,0.00537
2021-07,general,WatchEvent,150100,91520,81517,2918460,0.051431
2021-10,ai_ml,CommitCommentEvent,9,3,4,4538,0.001983
2021-10,ai_ml,CreateEvent,459,261,270,4538,0.101146
2021-10,ai_ml,DeleteEvent,158,40,50,4538,0.034817
2021-10,ai_ml,ForkEvent,254,242,214,4538,0.055972
2021-10,ai_ml,GollumEvent,15,9,5,4538,0.003305
2021-10,ai_ml,IssueCommentEvent,473,197,117,4538,0.104231
2021-10,ai_ml,IssuesEvent,120,94,72,4538,0.026443
2021-10,ai_ml,MemberEvent,7,7,7,4538,0.001543
2021-10,ai_ml,PublicEvent,12,11,12,4538,0.002644
2021-10,ai_ml,PullRequestEvent,137,78,81,4538,0.03019
2021-10,ai_ml,PullRequestReviewCommentEvent,22,16,12,4538,0.004848
2021-10,ai_ml,PullRequestReviewEvent,34,25,22,4538,0.007492
2021-10,ai_ml,PushEvent,1968,832,857,4538,0.433671
2021-10,ai_ml,ReleaseEvent,13,12,13,4538,0.002865
2021-10,ai_ml,WatchEvent,857,791,557,4538,0.18885
2021-10,general,CommitCommentEvent,5331,738,3009,1073601,0.004966
2021-10,general,CreateEvent,148345,76872,109477,1073601,0.138175
2021-10,general,DeleteEvent,35723,12001,21214,1073601,0.033274
2021-10,general,ForkEvent,21059,17316,16880,1073601,0.019615
2021-10,general,GollumEvent,2954,1231,1103,1073601,0.002751
2021-10,general,IssueCommentEvent,66389,25960,27257,1073601,0.061838
2021-10,general,IssuesEvent,27107,15168,13820,1073601,0.025249
2021-10,general,MemberEvent,3828,2917,3298,1073601,0.003566
2021-10,general,PublicEvent,3363,3081,3345,1073601,0.003132
2021-10,general,PullRequestEvent,59203,22024,32265,1073601,0.055144
2021-10,general,PullRequestReviewCommentEvent,17226,5398,4052,1073601,0.016045
2021-10,general,PullRequestReviewEvent,14387,7434,6274,1073601,0.013401
2021-10,general,PushEvent,604401,181409,223972,1073601,0.562966
2021-10,general,ReleaseEvent,8835,3090,4971,1073601,0.008229
2021-10,general,WatchEvent,55450,40577,36830,1073601,0.051649
2022-01,ai_ml,CommitCommentEvent,14,3,8,18013,7.77E-4
2022-01,ai_ml,CreateEvent,1602,367,872,18013,0.088936
2022-01,ai_ml,DeleteEvent,489,49,57,18013,0.027147
2022-01,ai_ml,ForkEvent,609,538,430,18013,0.033809
2022-01,ai_ml,GollumEvent,8,4,4,18013,4.44E-4
2022-01,ai_ml,IssueCommentEvent,409,217,150,18013,0.022706
2022-01,ai_ml,IssuesEvent,145,113,87,18013,0.00805
2022-01,ai_ml,MemberEvent,17,15,15,18013,9.44E-4
2022-01,ai_ml,PublicEvent,31,31,31,18013,0.001721
2022-01,ai_ml,PullRequestEvent,3076,123,572,18013,0.170766
2022-01,ai_ml,PullRequestReviewCommentEvent,81,29,19,18013,0.004497
2022-01,ai_ml,PullRequestReviewEvent,110,44,30,18013,0.006107
2022-01,ai_ml,PushEvent,9492,1007,1110,18013,0.526953
2022-01,ai_ml,ReleaseEvent,21,11,16,18013,0.001166
2022-01,ai_ml,WatchEvent,1909,1514,1014,18013,0.105979
2022-01,general,CommitCommentEvent,13559,1158,5123,2856292,0.004747
2022-01,general,CreateEvent,589328,112442,404370,2856292,0.206326
2022-01,general,DeleteEvent,77401,16311,33932,2856292,0.027098
2022-01,general,ForkEvent,45376,34561,32951,2856292,0.015886
2022-01,general,GollumEvent,5810,1223,1202,2856292,0.002034
2022-01,general,IssueCommentEvent,101489,30725,38246,2856292,0.035532
2022-01,general,IssuesEvent,53543,20628,19008,2856292,0.018746
2022-01,general,MemberEvent,5802,3834,4391,2856292,0.002031
2022-01,general,PublicEvent,7987,6738,7907,2856292,0.002796
2022-01,general,PullRequestEvent,416437,36314,284071,2856292,0.145796
2022-01,general,PullRequestReviewCommentEvent,19744,5452,3844,2856292,0.006912
2022-01,general,PullRequestReviewEvent,46080,10109,8629,2856292,0.016133
2022-01,general,PushEvent,1323341,234360,310812,2856292,0.463307
2022-01,general,ReleaseEvent,18463,4385,7117,2856292,0.006464
2022-01,general,WatchEvent,131932,74630,74798,2856292,0.04619
2022-04,ai_ml,CommitCommentEvent,30,4,9,22809,0.001315
2022-04,ai_ml,CreateEvent,1286,527,613,22809,0.056381
2022-04,ai_ml,DeleteEvent,342,87,128,22809,0.014994
2022-04,ai_ml,ForkEvent,707,632,490,22809,0.030997
2022-04,ai_ml,GollumEvent,4,3,2,22809,1.75E-4
2022-04,ai_ml,IssueCommentEvent,1135,447,256,22809,0.049761
2022-04,ai_ml,IssuesEvent,309,226,158,22809,0.013547
2022-04,ai_ml,MemberEvent,35,22,24,22809,0.001534
2022-04,ai_ml,PublicEvent,34,31,34,22809,0.001491
2022-04,ai_ml,PullRequestEvent,4629,240,250,22809,0.202946
2022-04,ai_ml,PullRequestReviewCommentEvent,322,84,33,22809,0.014117
2022-04,ai_ml,PullRequestReviewEvent,464,124,55,22809,0.020343
2022-04,ai_ml,PushEvent,10741,1281,1386,22809,0.470911
2022-04,ai_ml,ReleaseEvent,25,14,20,22809,0.001096
2022-04,ai_ml,WatchEvent,2746,2273,1381,22809,0.120391
2022-04,general,CommitCommentEvent,17192,1362,6213,3109461,0.005529
2022-04,general,CreateEvent,415588,138044,219818,3109461,0.133653
2022-04,general,DeleteEvent,107768,22842,50961,3109461,0.034658
2022-04,general,ForkEvent,52375,38737,37196,3109461,0.016844
2022-04,general,GollumEvent,6137,1626,1517,3109461,0.001974
2022-04,general,IssueCommentEvent,161358,42825,50933,3109461,0.051893
2022-04,general,IssuesEvent,68133,28432,25310,3109461,0.021912
2022-04,general,MemberEvent,8886,5761,6722,3109461,0.002858
2022-04,general,PublicEvent,10075,8588,9965,3109461,0.00324
2022-04,general,PullRequestEvent,253408,53964,82118,3109461,0.081496
2022-04,general,PullRequestReviewCommentEvent,42869,11672,7078,3109461,0.013787
2022-04,general,PullRequestReviewEvent,70541,21421,16073,3109461,0.022686
2022-04,general,PushEvent,1705810,300234,394418,3109461,0.548587
2022-04,general,ReleaseEvent,18165,5456,9444,3109461,0.005842
2022-04,general,WatchEvent,171156,102461,86526,3109461,0.055044
2022-07,ai_ml,CommitCommentEvent,53,8,16,22950,0.002309
2022-07,ai_ml,CreateEvent,1895,590,808,22950,0.082571
2022-07,ai_ml,DeleteEvent,635,100,165,22950,0.027669
2022-07,ai_ml,ForkEvent,531,496,407,22950,0.023137
2022-07,ai_ml,GollumEvent,9,3,3,22950,3.92E-4
2022-07,ai_ml,IssueCommentEvent,1156,412,263,22950,0.05037
2022-07,ai_ml,IssuesEvent,287,208,151,22950,0.012505
2022-07,ai_ml,MemberEvent,17,15,17,22950,7.41E-4
2022-07,ai_ml,PublicEvent,36,28,35,22950,0.001569
2022-07,ai_ml,PullRequestEvent,3538,281,394,22950,0.154161
2022-07,ai_ml,PullRequestReviewCommentEvent,384,128,57,22950,0.016732
2022-07,ai_ml,PullRequestReviewEvent,498,188,87,22950,0.021699
2022-07,ai_ml,PushEvent,11638,1331,1432,22950,0.507102
2022-07,ai_ml,ReleaseEvent,36,20,27,22950,0.001569
2022-07,ai_ml,WatchEvent,2237,1839,1221,22950,0.097473
2022-07,general,CommitCommentEvent,19585,1283,7553,3344922,0.005855
2022-07,general,CreateEvent,502799,144354,261925,3344922,0.150317
2022-07,general,DeleteEvent,120218,24857,67911,3344922,0.03594
2022-07,general,ForkEvent,46193,35571,32518,3344922,0.01381
2022-07,general,GollumEvent,4884,1335,1345,3344922,0.00146
2022-07,general,IssueCommentEvent,182322,46476,70435,3344922,0.054507
2022-07,general,IssuesEvent,62937,29447,24616,3344922,0.018816
2022-07,general,MemberEvent,8620,5612,6643,3344922,0.002577
2022-07,general,PublicEvent,9959,8292,9852,3344922,0.002977
2022-07,general,PullRequestEvent,293120,59016,122877,3344922,0.087631
2022-07,general,PullRequestReviewCommentEvent,54693,15110,9120,3344922,0.016351
2022-07,general,PullRequestReviewEvent,86747,27549,19908,3344922,0.025934
2022-07,general,PushEvent,1781756,306889,408513,3344922,0.532675
2022-07,general,ReleaseEvent,17070,5441,9435,3344922,0.005103
2022-07,general,WatchEvent,154019,91137,83055,3344922,0.046046
2022-10,ai_ml,CommitCommentEvent,34,18,9,23039,0.001476
2022-10,ai_ml,CreateEvent,1813,524,620,23039,0.078693
2022-10,ai_ml,DeleteEvent,569,77,90,23039,0.024697
2022-10,ai_ml,ForkEvent,736,650,404,23039,0.031946
2022-10,ai_ml,GollumEvent,9,6,5,23039,3.91E-4
2022-10,ai_ml,IssueCommentEvent,1164,509,182,23039,0.050523
2022-10,ai_ml,IssuesEvent,345,231,122,23039,0.014975
2022-10,ai_ml,MemberEvent,24,16,16,23039,0.001042
2022-10,ai_ml,PublicEvent,35,34,35,23039,0.001519
2022-10,ai_ml,PullRequestEvent,3102,233,252,23039,0.134641
2022-10,ai_ml,PullRequestReviewCommentEvent,163,45,26,23039,0.007075
2022-10,ai_ml,PullRequestReviewEvent,237,79,47,23039,0.010287
2022-10,ai_ml,PushEvent,11408,1290,1496,23039,0.49516
2022-10,ai_ml,ReleaseEvent,33,18,23,23039,0.001432
2022-10,ai_ml,WatchEvent,3367,2816,1113,23039,0.146143
2022-10,general,CommitCommentEvent,20957,1160,7454,3224721,0.006499
2022-10,general,CreateEvent,610909,127264,297343,3224721,0.189446
2022-10,general,DeleteEvent,68892,17454,28858,3224721,0.021364
2022-10,general,ForkEvent,50448,35161,32956,3224721,0.015644
2022-10,general,GollumEvent,4975,1165,1107,3224721,0.001543
2022-10,general,IssueCommentEvent,105277,31165,30183,3224721,0.032647
2022-10,general,IssuesEvent,51774,21332,19344,3224721,0.016055
2022-10,general,MemberEvent,9157,5627,6708,3224721,0.00284
2022-10,general,PublicEvent,9451,7891,9355,3224721,0.002931
2022-10,general,PullRequestEvent,190840,45559,57785,3224721,0.05918
2022-10,general,PullRequestReviewCommentEvent,23478,5803,4336,3224721,0.007281
2022-10,general,PullRequestReviewEvent,39030,11183,9876,3224721,0.012103
2022-10,general,PushEvent,1892650,272772,405955,3224721,0.586919
2022-10,general,ReleaseEvent,16784,4225,7830,3224721,0.005205
2022-10,general,WatchEvent,130099,73732,74940,3224721,0.040344
2023-01,ai_ml,CommitCommentEvent,292,13,98,26052,0.011208
2023-01,ai_ml,CreateEvent,1906,770,907,26052,0.073161
2023-01,ai_ml,DeleteEvent,257,86,98,26052,0.009865
2023-01,ai_ml,ForkEvent,941,829,510,26052,0.03612
2023-01,ai_ml,GollumEvent,12,7,6,26052,4.61E-4
2023-01,ai_ml,IssueCommentEvent,921,458,237,26052,0.035352
2023-01,ai_ml,IssuesEvent,349,248,177,26052,0.013396
2023-01,ai_ml,MemberEvent,30,27,28,26052,0.001152
2023-01,ai_ml,PublicEvent,73,65,73,26052,0.002802
2023-01,ai_ml,PullRequestEvent,2955,231,251,26052,0.113427
2023-01,ai_ml,PullRequestReviewCommentEvent,60,19,11,26052,0.002303
2023-01,ai_ml,PullRequestReviewEvent,107,43,36,26052,0.004107
2023-01,ai_ml,PushEvent,13423,1732,1944,26052,0.515239
2023-01,ai_ml,ReleaseEvent,57,26,32,26052,0.002188
2023-01,ai_ml,WatchEvent,4669,3734,1483,26052,0.179218
2023-01,general,CommitCommentEvent,28587,1084,9488,3129657,0.009134
2023-01,general,CreateEvent,382328,118206,186721,3129657,0.122163
2023-01,general,DeleteEvent,84517,17550,30925,3129657,0.027005
2023-01,general,ForkEvent,40566,29849,28664,3129657,0.012962
2023-01,general,GollumEvent,5737,1190,1180,3129657,0.001833
2023-01,general,IssueCommentEvent,101449,30192,30328,3129657,0.032415
2023-01,general,IssuesEvent,57063,21496,19511,3129657,0.018233
2023-01,general,MemberEvent,5971,3947,4841,3129657,0.001908
2023-01,general,PublicEvent,10899,8893,10762,3129657,0.003482
2023-01,general,PullRequestEvent,174942,39750,54053,3129657,0.055898
2023-01,general,PullRequestReviewCommentEvent,23360,5531,4042,3129657,0.007464
2023-01,general,PullRequestReviewEvent,36101,10690,9294,3129657,0.011535
2023-01,general,PushEvent,2007675,273653,397335,3129657,0.6415
2023-01,general,ReleaseEvent,17088,4747,8902,3129657,0.00546
2023-01,general,WatchEvent,153374,79077,90925,3129657,0.049007
2023-04,ai_ml,CommitCommentEvent,663,25,269,70683,0.00938
2023-04,ai_ml,CreateEvent,4627,1788,2049,70683,0.065461
2023-04,ai_ml,DeleteEvent,1196,230,241,70683,0.016921
2023-04,ai_ml,ForkEvent,5046,4386,1020,70683,0.071389
2023-04,ai_ml,GollumEvent,14,9,8,70683,1.98E-4
2023-04,ai_ml,IssueCommentEvent,3006,1335,449,70683,0.042528
2023-04,ai_ml,IssuesEvent,1075,700,349,70683,0.015209
2023-04,ai_ml,MemberEvent,121,84,93,70683,0.001712
2023-04,ai_ml,PublicEvent,126,120,126,70683,0.001783
2023-04,ai_ml,PullRequestEvent,5483,616,639,70683,0.077572
2023-04,ai_ml,PullRequestReviewCommentEvent,348,103,47,70683,0.004923
2023-04,ai_ml,PullRequestReviewEvent,614,183,87,70683,0.008687
2023-04,ai_ml,PushEvent,23429,4041,5788,70683,0.331466
2023-04,ai_ml,ReleaseEvent,201,87,107,70683,0.002844
2023-04,ai_ml,WatchEvent,24734,19977,2744,70683,0.349929
2023-04,general,CommitCommentEvent,34851,1179,11478,3051450,0.011421
2023-04,general,CreateEvent,389245,132238,192852,3051450,0.127561
2023-04,general,DeleteEvent,75513,19014,29179,3051450,0.024747
2023-04,general,ForkEvent,44546,33120,31344,3051450,0.014598
2023-04,general,GollumEvent,5316,1206,1221,3051450,0.001742
2023-04,general,IssueCommentEvent,99700,31348,29506,3051450,0.032673
2023-04,general,IssuesEvent,64324,22296,19965,3051450,0.02108
2023-04,general,MemberEvent,10031,6362,7797,3051450,0.003287
2023-04,general,PublicEvent,10820,8983,10647,3051450,0.003546
2023-04,general,PullRequestEvent,179891,45216,57400,3051450,0.058953
2023-04,general,PullRequestReviewCommentEvent,24272,5910,4362,3051450,0.007954
2023-04,general,PullRequestReviewEvent,37510,12143,10364,3051450,0.012293
2023-04,general,PushEvent,1896546,295918,421653,3051450,0.621523
2023-04,general,ReleaseEvent,17417,4660,8677,3051450,0.005708
2023-04,general,WatchEvent,161468,90110,83703,3051450,0.052915
2023-07,ai_ml,CommitCommentEvent,67,9,36,36077,0.001857
2023-07,ai_ml,CreateEvent,2686,1026,1247,36077,0.074452
2023-07,ai_ml,DeleteEvent,751,139,188,36077,0.020817
2023-07,ai_ml,ForkEvent,1542,1303,720,36077,0.042742
2023-07,ai_ml,GollumEvent,31,6,7,36077,8.59E-4
2023-07,ai_ml,IssueCommentEvent,1508,639,403,36077,0.041799
2023-07,ai_ml,IssuesEvent,559,365,272,36077,0.015495
2023-07,ai_ml,MemberEvent,32,31,31,36077,8.87E-4
2023-07,ai_ml,PublicEvent,94,93,93,36077,0.002606
2023-07,ai_ml,PullRequestEvent,2094,377,555,36077,0.058043
2023-07,ai_ml,PullRequestReviewCommentEvent,224,61,38,36077,0.006209
2023-07,ai_ml,PullRequestReviewEvent,317,107,77,36077,0.008787
2023-07,ai_ml,PushEvent,19352,2508,7283,36077,0.536408
2023-07,ai_ml,ReleaseEvent,78,43,59,36077,0.002162
2023-07,ai_ml,WatchEvent,6742,5399,2106,36077,0.186878
2023-07,general,CommitCommentEvent,15633,895,5219,2840586,0.005503
2023-07,general,CreateEvent,402185,119281,190866,2840586,0.141585
2023-07,general,DeleteEvent,76349,17215,31221,2840586,0.026878
2023-07,general,ForkEvent,33352,23838,24111,2840586,0.011741
2023-07,general,GollumEvent,3558,851,862,2840586,0.001253
2023-07,general,IssueCommentEvent,93686,27734,30417,2840586,0.032981
2023-07,general,IssuesEvent,58749,19539,17887,2840586,0.020682
2023-07,general,MemberEvent,6688,4236,5398,2840586,0.002354
2023-07,general,PublicEvent,9845,8102,9716,2840586,0.003466
2023-07,general,PullRequestEvent,198632,38589,59655,2840586,0.069926
2023-07,general,PullRequestReviewCommentEvent,20835,5422,3958,2840586,0.007335
2023-07,general,PullRequestReviewEvent,33884,10756,9327,2840586,0.011929
2023-07,general,PushEvent,1723878,262309,388044,2840586,0.606874
2023-07,general,ReleaseEvent,16298,4256,8391,2840586,0.005738
2023-07,general,WatchEvent,147014,76247,73861,2840586,0.051755
2023-10,ai_ml,CommitCommentEvent,81,12,31,26143,0.003098
2023-10,ai_ml,CreateEvent,2276,1009,1191,26143,0.08706
2023-10,ai_ml,DeleteEvent,475,122,148,26143,0.018169
2023-10,ai_ml,ForkEvent,1125,985,661,26143,0.043033
2023-10,ai_ml,GollumEvent,18,7,7,26143,6.89E-4
2023-10,ai_ml,IssueCommentEvent,1067,528,324,26143,0.040814
2023-10,ai_ml,IssuesEvent,491,331,251,26143,0.018781
2023-10,ai_ml,MemberEvent,63,46,47,26143,0.00241
2023-10,ai_ml,PublicEvent,102,99,102,26143,0.003902
2023-10,ai_ml,PullRequestEvent,1442,363,654,26143,0.055158
2023-10,ai_ml,PullRequestReviewCommentEvent,193,43,32,26143,0.007382
2023-10,ai_ml,PullRequestReviewEvent,210,97,65,26143,0.008033
2023-10,ai_ml,PushEvent,12177,2509,2976,26143,0.465784
2023-10,ai_ml,ReleaseEvent,53,29,42,26143,0.002027
2023-10,ai_ml,WatchEvent,6370,5230,2197,26143,0.24366
2023-10,general,CommitCommentEvent,12656,1180,4168,3121006,0.004055
2023-10,general,CreateEvent,403290,137786,203601,3121006,0.129218
2023-10,general,DeleteEvent,77676,19225,29686,3121006,0.024888
2023-10,general,ForkEvent,37923,26037,24557,3121006,0.012151
2023-10,general,GollumEvent,6612,1372,1318,3121006,0.002119
