month,repo_class,class_events,prev_events,mom_growth_pct
2021-01,ai_ml,13658,,
2021-04,ai_ml,16370,13658,19.86
2021-07,ai_ml,14477,16370,-11.56
2021-10,ai_ml,4538,14477,-68.65
2022-01,ai_ml,18013,4538,296.94
2022-04,ai_ml,22809,18013,26.63
2022-07,ai_ml,22950,22809,0.62
2022-10,ai_ml,23039,22950,0.39
2023-01,ai_ml,26052,23039,13.08
2023-04,ai_ml,70683,26052,171.32
2023-07,ai_ml,36077,70683,-48.96
2023-10,ai_ml,26143,36077,-27.54
2024-01,ai_ml,43517,26143,66.46
2024-04,ai_ml,59552,43517,36.85
2024-07,ai_ml,46573,59552,-21.79
2024-10,ai_ml,46190,46573,-0.82
2025-01,ai_ml,43077,46190,-6.74
2025-04,ai_ml,51875,43077,20.42
2025-07,ai_ml,43402,51875,-16.33
2025-10,ai_ml,31758,43402,-26.83
2026-01,ai_ml,32140,31758,1.2
2026-04,ai_ml,32769,32140,1.96
2026-07,ai_ml,22381,32769,-31.7
2021-01,general,2639242,,
2021-04,general,3138079,2639242,18.9
2021-07,general,2918460,3138079,-7.0
2021-10,general,1073601,2918460,-63.21
2022-01,general,2856292,1073601,166.05
2022-04,general,3109461,2856292,8.86
2022-07,general,3344922,3109461,7.57
2022-10,general,3224721,3344922,-3.59
2023-01,general,3129657,3224721,-2.95
2023-04,general,3051450,3129657,-2.5
2023-07,general,2840586,3051450,-6.91
2023-10,general,3121006,2840586,9.87
2024-01,general,5484784,3121006,75.74
2024-04,general,5390697,5484784,-1.72
2024-07,general,4868178,5390697,-9.69
2024-10,general,5332496,4868178,9.54
2025-01,general,5264530,5332496,-1.27
2025-04,general,5582477,5264530,6.04
2025-07,general,3766790,5582477,-32.52
2025-10,general,3434167,3766790,-8.83
2026-01,general,3386909,3434167,-1.38
2026-04,general,3706333,3386909,9.43
2026-07,general,3926284,3706333,5.93
